,Q1,Q2,Q3,Q4,Q5,Q6
0,What is your age (# years)?,What is your gender? - Selected Choice,In which country do you currently reside?,What is the highest level of formal education that you have attained or plan to attain within the next 2 years?,Select the title most similar to your current role (or most recent title if retired): - Selected Choice,For how many years have you been writing code and/or programming?
1,50-54,Man,India,Bachelor’s degree,Other,5-10 years
2,50-54,Man,Indonesia,Master’s degree,Program/Project Manager,20+ years
3,22-24,Man,Pakistan,Master’s degree,Software Engineer,1-3 years
4,45-49,Man,Mexico,Doctoral degree,Research Scientist,20+ years
5,45-49,Man,India,Doctoral degree,Other,< 1 years
6,25-29,Woman,India,I prefer not to answer,Currently not employed,< 1 years
7,18-21,Woman,India,Some college/university study without earning a bachelor’s degree,Student,1-3 years
8,30-34,Man,India,Bachelor’s degree,Data Scientist,5-10 years
9,22-24,Man,Russia,Bachelor’s degree,Currently not employed,3-5 years
10,30-34,Man,Turkey,I prefer not to answer,Other,1-3 years
11,40-44,Man,Australia,Doctoral degree,Other,1-3 years
12,18-21,Woman,India,Master’s degree,Student,< 1 years
13,18-21,Woman,India,Master’s degree,Student,< 1 years
14,45-49,Man,Nigeria,Master’s degree,Program/Project Manager,5-10 years
15,22-24,Man,Nigeria,Bachelor’s degree,Other,< 1 years
16,35-39,Man,Greece,Doctoral degree,Research Scientist,10-20 years
17,50-54,Man,Belgium,Bachelor’s degree,Data Analyst,20+ years
18,18-21,Man,Pakistan,Bachelor’s degree,Data Scientist,1-3 years
19,22-24,Man,Japan,Master’s degree,Software Engineer,3-5 years
20,30-34,Man,Egypt,Bachelor’s degree,Other,< 1 years
21,70+,Man,Singapore,Bachelor’s degree,Other,< 1 years
22,25-29,Woman,Turkey,Bachelor’s degree,Data Scientist,3-5 years
23,30-34,Man,Indonesia,Master’s degree,Student,1-3 years
24,35-39,Man,Brazil,Master’s degree,Machine Learning Engineer,20+ years
25,18-21,Man,India,Bachelor’s degree,Student,1-3 years
26,25-29,Woman,Poland,Master’s degree,Machine Learning Engineer,3-5 years
27,45-49,Man,Brazil,Doctoral degree,Research Scientist,< 1 years
28,22-24,Man,China,Master’s degree,Student,3-5 years
29,22-24,Woman,"Iran, Islamic Republic of...",Bachelor’s degree,Data Scientist,3-5 years
30,18-21,Man,India,Bachelor’s degree,Student,< 1 years
31,22-24,Man,India,Bachelor’s degree,Other,1-3 years
32,30-34,Man,India,Master’s degree,Data Scientist,5-10 years
33,22-24,Nonbinary,United States of America,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 years
34,30-34,Woman,Egypt,Bachelor’s degree,Data Analyst,3-5 years
35,22-24,Man,India,Bachelor’s degree,Student,1-3 years
36,30-34,Woman,Brazil,Bachelor’s degree,Currently not employed,< 1 years
37,25-29,Woman,Egypt,Master’s degree,Currently not employed,< 1 years
38,30-34,Man,Brazil,Bachelor’s degree,Student,3-5 years
39,22-24,Man,Japan,No formal education past high school,Software Engineer,3-5 years
40,18-21,Man,India,Bachelor’s degree,Student,< 1 years
41,25-29,Man,Brazil,Master’s degree,Data Scientist,5-10 years
42,25-29,Man,Italy,Master’s degree,Other,1-3 years
43,55-59,Man,United States of America,Master’s degree,Software Engineer,10-20 years
44,30-34,Woman,Viet Nam,Master’s degree,Machine Learning Engineer,1-3 years
45,18-21,Man,United States of America,Some college/university study without earning a bachelor’s degree,Student,1-3 years
46,40-44,Man,Israel,Master’s degree,Data Scientist,3-5 years
47,22-24,Man,China,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 years
48,18-21,Woman,Egypt,Bachelor’s degree,Student,1-3 years
49,25-29,Man,India,Bachelor’s degree,Machine Learning Engineer,3-5 years
50,30-34,Woman,United States of America,Master’s degree,Data Scientist,5-10 years
51,25-29,Man,Peru,Some college/university study without earning a bachelor’s degree,Currently not employed,< 1 years
52,40-44,Man,United States of America,Bachelor’s degree,Research Scientist,< 1 years
53,40-44,Man,South Africa,Master’s degree,Data Analyst,1-3 years
54,40-44,Man,Other,Master’s degree,Business Analyst,1-3 years
